Price,Style,Number,Length,Move In,Collected On
1419,Cyan,Unit D - 1028,11 Months,30-Jul,7/30/2015
1579,Sable,Unit A - 1008,14 Months,1-Oct,7/30/2015
1589,Amber,Unit F - 1047,15 Months,9-Aug,7/30/2015
1589,Azure,Unit C - 3018,14 Months,3-Oct,7/30/2015
1659,Jade,Unit D - 3027,15 Months,29-Aug,7/30/2015
2349,Slate,Unit D - 4026,15 Months,7-Sep,7/30/2015
1419,Cyan,Unit D - 1028,11 Months,31-Jul,7/31/2015
1579,Sable,Unit A - 2008,14 Months,25-Sep,7/31/2015
1579,Amber,Unit F - 1047,15 Months,8-Aug,7/31/2015
1589,Azure,Unit C - 3018,14 Months,3-Oct,7/31/2015
1659,Jade,Unit D - 3027,15 Months,29-Aug,7/31/2015
2349,Slate,Unit D - 4026,15 Months,7-Sep,7/31/2015
1419,Cyan,Unit D - 1028,11 Months,1-Aug,8/1/2015
1579,Sable,Unit A - 2008,14 Months,25-Sep,8/1/2015
1589,Amber,Unit F - 1047,15 Months,9-Aug,8/1/2015
1589,Azure,Unit C - 3018,14 Months,3-Oct,8/1/2015
1659,Jade,Unit D - 3027,15 Months,29-Aug,8/1/2015
2349,Slate,Unit D - 4026,15 Months,7-Sep,8/1/2015
1429,Cyan,Unit D - 1028,10 Months,2-Aug,8/2/2015
1579,Sable,Unit A - 2008,14 Months,25-Sep,8/2/2015
1589,Azure,Unit C - 3018,14 Months,3-Oct,8/2/2015
1649,Amber,Unit F - 1047,7 Months,2-Aug,8/2/2015
1659,Jade,Unit D - 3027,15 Months,29-Aug,8/2/2015
2349,Slate,Unit D - 4026,15 Months,7-Sep,8/2/2015
1429,Cyan,Unit D - 1028,10 Months,4-Aug,8/4/2015
1579,Sable,Unit E - 1033,14 Months,19-Sep,8/4/2015
1589,Azure,Unit C - 3018,14 Months,3-Oct,8/4/2015
1639,Amber,Unit F - 1047,7 Months,4-Aug,8/4/2015
1659,Jade,Unit D - 3027,15 Months,29-Aug,8/4/2015
2349,Slate,Unit D - 4026,15 Months,7-Sep,8/4/2015
1429,Cyan,Unit D - 1028,10 Months,5-Aug,8/5/2015
1499,Sable,Unit A - 2008,14 Months,25-Sep,8/5/2015
1509,Azure,Unit C - 3018,14 Months,3-Oct,8/5/2015
1559,Amber,Unit F - 1047,7 Months,5-Aug,8/5/2015
1659,Jade,Unit D - 3027,15 Months,29-Aug,8/5/2015
2349,Slate,Unit D - 4026,15 Months,7-Sep,8/5/2015
1449,Sable,Unit E - 1033,14 Months,19-Sep,8/6/2015
